Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2017","2017","million SLC","61622","A","Official figure","Budgetary Central Government"
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2018","2018","million SLC","85437","A","Official figure","Budgetary Central Government"
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2019","2019","million SLC","114082","A","Official figure","consolidated Central Government"
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2020","2020","million SLC","122305","A","Official figure","consolidated Central Government"
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2021","2021","million SLC","109742","A","Official figure","Budgetary Central Government"
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2022","2022","million SLC","115226","A","Official figure","Budgetary Central Government"
"IG","Government Expenditure","686","Senegal","6224","Value Standard Local Currency","23164","Agriculture (central government expenditure)","2023","2023","million SLC","114610","A","Official figure","Budgetary Central Government"
